rendapc,anosestudo,idade,mfa,lnrendapc,urbana,homem,perpob
598751,9,61,0,13.30260086,1,1,0
571876,2,55,1,13.25667763,1,1,1
360001,5,61,0,12.79386234,1,0,1
1040001,11,44,0,13.85473251,1,1,1
333334,19,51,0,12.71689987,1,0,0
465001,6,37,0,13.04979515,1,0,0
600001,1,54,0,13.30468655,1,1,1
300001,5,92,0,12.61154079,1,1,1
730001,15,23,0,13.50080109,1,0,0
1,16,40,0,0,1,1,1
976001,13,44,0,13.79121876,1,0,0
406668,0,67,0,12.91575241,1,0,1
1200001,11,36,0,13.99783325,1,1,1
1825001,16,48,0,14.41709137,1,0,0
395834,11,48,0,12.88875008,1,1,0
1257144,2,71,0,14.04435349,1,0,0
2588890,11,72,0,14.76673985,1,1,1
1744793,16,75,0,14.37214661,1,0,0
60001,5,69,0,11.0021162,1,1,1
279168,13,19,0,12.5395689,1,1,1
180001,3,65,0,12.10071754,1,0,1
265001,9,67,0,12.48748875,1,0,1
116668,14,28,0,11.66708755,1,1,0
366112,6,61,0,12.81069469,1,0,1
541668,6,81,0,13.20240879,1,0,1
1305001,14,41,0,14.08171463,1,0,0
583334,18,43,0,13.27651501,1,0,0
365392,11,44,0,12.80872631,1,1,0
8334,5,37,1,9.02809906,1,1,1
625001,12,36,0,13.34550858,1,1,0
2358851,16,29,0,14.67368507,1,1,0
253334,6,47,1,12.44246387,0,1,1
146668,5,70,0,11.89592648,0,0,1
578751,11,39,0,13.26862717,1,1,0
250001,0,67,0,12.4292202,1,0,1
726668,4,78,0,13.49622536,1,1,0
46668,7,51,0,10.75081444,0,1,1
231626,11,29,0,12.35287952,1,1,0
331534,17,52,0,12.71148586,1,1,1
2225112,13,32,0,14.61531734,1,1,0
568501,2,47,1,13.25075817,1,1,0
1429168,16,69,0,14.17260265,1,1,0
155209,8,34,1,11.952528,0,0,1
128376,3,22,0,11.76271915,0,0,1
98334,3,72,0,11.49612522,0,0,1
200334,2,75,0,12.20774078,0,0,1
256001,0,66,1,12.45293617,1,0,1
599098,11,36,0,13.30318069,1,1,0
533517,11,62,0,13.18724632,1,1,0
495529,11,44,0,13.11338139,1,1,1
634168,10,34,0,13.36006927,1,0,1
254757,5,60,0,12.44806576,1,1,1
485001,11,55,0,13.09190655,1,1,0
412501,5,74,0,12.92999363,1,1,0
500001,11,20,0,13.122365,1,0,0
682501,11,35,0,13.43351936,1,1,1
947918,14,54,0,13.76202297,1,1,0
220334,11,50,0,12.30290031,1,1,1
279001,11,27,1,12.53897095,1,1,0
1288890,5,74,0,14.06929207,0,0,0
672668,12,43,0,13.4190073,0,0,0
732223,6,46,0,13.50384045,0,1,0
930223,11,36,0,13.74317932,1,0,0
1684568,4,57,0,14.33701992,1,1,0
246251,14,33,0,12.41410637,1,1,0
450001,5,47,0,13.01700497,0,1,0
1245508,16,53,0,14.03505421,0,0,0
1295834,13,72,0,14.07466507,0,0,0
498959,16,53,0,13.12027931,0,0,0
325001,3,73,0,12.69158363,0,1,0
375001,4,43,0,12.83468437,1,1,0
916668,11,62,0,13.72850037,1,1,0
257918,9,52,0,12.46039677,1,0,1
40634,0,69,1,10.61236,1,0,0
414952,16,56,0,12.93591785,1,1,1
306668,5,66,1,12.63352108,1,0,1
1750001,17,67,0,14.37512684,1,1,1
369168,4,73,0,12.81900692,1,0,1
447084,13,47,0,13.01050186,1,0,1
396779,14,22,0,12.89113426,1,0,1
839142,16,59,0,13.64013481,1,0,0
184584,11,38,0,12.12586021,1,1,1
203001,0,74,0,12.22096634,0,1,1
209001,5,38,0,12.25009441,0,1,1
116668,5,78,0,11.66708755,0,1,1
625001,11,48,0,13.34550858,0,1,1
551390,10,24,0,13.22019768,1,1,1
125001,15,43,0,11.73607731,1,0,1
138334,3,57,0,11.83742619,1,0,1
1,8,24,0,0,1,0,1
522223,16,34,0,13.16584969,1,0,1
138168,7,49,1,11.83622551,1,0,1
283404,5,32,1,12.55462837,1,1,0
433334,0,55,0,12.97926426,1,0,1
290001,3,47,0,12.57763958,1,1,0
28334,11,35,1,10.2518177,1,0,0
316668,5,67,0,12.66560936,1,0,1
57501,5,55,0,10.95955753,1,0,1
870001,3,64,0,13.6762495,1,0,0
225234,8,31,1,12.32489491,1,0,1
220001,9,50,0,12.30138779,1,0,0
130001,0,87,0,11.77529716,1,1,1
901001,0,67,0,13.71126175,1,0,0
382557,14,35,1,12.85463333,1,0,0
50001,12,24,1,10.81979847,1,0,0
1301668,11,38,0,14.07915688,1,1,1
142807,10,59,1,11.86924934,1,1,1
217501,5,70,0,12.28995895,1,1,0
4020001,5,61,0,15.20679283,1,0,0
355557,5,58,1,12.78144073,1,1,1
415239,2,63,1,12.93660927,1,0,0
844584,13,25,0,13.64659977,1,1,1
129168,2,68,1,11.7688694,1,0,0
1,0,78,0,0,1,0,1
700223,14,38,0,13.45915413,1,1,0
362501,1,53,0,12.8007822,1,1,0
122501,13,35,1,11.71587467,1,0,1
286668,0,75,0,12.56608009,1,0,1
241779,7,45,1,12.39577961,1,0,1
245618,0,60,1,12.4115324,1,0,1
61112,0,58,0,11.02046394,0,1,1
424834,11,20,1,12.95945358,0,0,1
364168,11,26,1,12.80537033,0,1,1
279834,9,22,1,12.54195213,0,1,1
81251,5,55,0,11.30529881,0,1,1
71501,11,34,1,11.17746639,0,1,1
100834,5,27,0,11.5212307,0,1,1
66668,9,31,1,11.10748005,0,1,1
545168,11,30,1,13.20884895,1,0,0
210001,11,31,1,12.25486755,1,0,1
241668,11,24,0,12.39531994,0,1,0
516668,11,54,0,13.15515614,1,1,0
228811,0,61,1,12.34065151,1,1,0
172501,3,47,1,12.05815792,1,1,0
322501,0,71,0,12.68386173,1,0,0
199445,11,63,0,12.2032938,0,1,1
133612,6,28,1,11.80269527,0,1,0
270001,0,69,0,12.50618076,0,1,1
169168,3,45,1,12.03864765,0,1,1
185418,0,47,1,12.13036823,0,1,1
25450000,9,51,0,17.05222702,0,1,1
177501,4,36,0,12.08673191,0,1,1
574168,0,68,0,13.26067734,0,1,1
140501,6,36,1,11.85297012,0,1,1
312968,0,80,1,12.65385628,1,1,1
566668,5,32,0,13.24752903,0,1,1
350626,4,57,0,12.76747513,0,1,1
131251,1,56,1,11.78486633,0,1,0
220001,4,52,0,12.30138779,0,1,1
96668,4,50,0,11.47903728,0,0,1
490844,8,52,0,13.10388184,1,1,1
444426,5,79,0,13.00453854,1,0,1
594364,5,65,0,13.29524708,1,0,1
350001,11,36,0,12.76569176,1,0,1
272184,7,60,0,12.51423359,1,1,1
296668,11,51,0,12.6003685,1,1,0
671668,16,38,0,13.41751957,1,1,1
605001,4,66,0,13.31298542,1,1,0
315901,11,37,0,12.66318417,1,1,1
340140,12,37,0,12.737113,1,0,1
1010001,5,83,0,13.82546234,1,1,0
609001,7,68,0,13.31957531,1,1,0
308001,5,75,0,12.63785839,1,0,1
625001,16,71,0,13.34550858,1,1,0
450001,13,59,0,13.01700497,1,1,1
466668,11,45,0,13.05337334,1,1,0
613334,16,23,0,13.32666492,1,1,0
683334,9,53,0,13.43473911,1,0,1
605259,14,51,0,13.31341171,1,1,0
2998334,16,56,0,14.91356754,1,1,0
750001,11,58,0,13.52783012,1,1,0
292568,11,24,0,12.58645248,1,1,0
575001,0,72,0,13.26212692,1,0,0
4750001,19,75,0,15.37365532,1,1,0
2652534,15,44,0,14.79102612,1,1,0
600834,11,63,0,13.30607414,1,1,0
420834,11,65,0,12.94999409,1,1,1
300834,13,46,0,12.61431408,1,1,1
136001,8,52,0,11.8204174,1,1,1
352612,14,25,0,12.77312374,1,0,0
454522,14,27,0,13.02700138,1,1,0
11000001,18,51,0,16.21340561,1,0,0
7300001,21,57,0,15.80338478,1,1,0
4136112,17,57,0,15.23526669,1,1,0
261334,11,22,0,12.47355461,1,0,0
366834,11,22,0,12.81266499,1,0,0
193751,0,50,1,12.1743288,1,1,1
200001,9,28,0,12.20607758,1,1,0
445459,11,28,1,13.00686073,1,1,0
316041,11,46,1,12.66362762,1,1,1
106668,5,54,0,11.5774765,1,1,1
171430,8,59,1,12.05193043,1,1,0
811745,16,50,0,13.60694122,1,1,0
254584,5,43,0,12.44738579,1,1,0
197001,10,41,1,12.19096375,1,1,0
305765,13,45,0,12.63057232,1,1,0
657144,11,56,0,13.39565849,1,1,0
366945,12,52,0,12.8129673,1,1,0
300001,5,63,0,12.61154079,1,0,1
384751,0,48,0,12.86035156,1,1,0
116334,10,49,1,11.66422081,1,1,0
675001,12,65,0,13.42246914,1,0,1
374334,16,41,0,12.83290386,1,1,0
622084,5,54,1,13.3408308,1,0,0
377418,11,38,0,12.84110832,1,1,0
312501,8,43,0,12.65236282,1,1,1
1933334,16,43,0,14.47475624,1,1,0
200001,0,68,0,12.20607758,1,0,0
276251,5,59,0,12.52906513,1,0,1
435001,0,60,0,12.98310375,1,1,0
457779,11,40,0,13.03414154,1,0,1
1420668,11,28,0,14.16663742,1,1,0
150001,4,54,0,11.91839695,0,0,1
150001,7,65,0,11.91839695,0,1,1
400001,11,33,0,12.89922237,0,1,1
197293,11,34,0,12.1924448,0,0,1
674584,12,69,0,13.42185116,0,1,0
379334,5,82,0,12.84617233,0,0,1
141668,13,68,0,11.86124134,0,1,1
378890,7,67,0,12.84500122,0,0,0
282501,12,46,0,12.55143738,0,0,1
175651,6,35,1,12.07625389,0,1,1
598668,6,67,0,13.30246258,0,0,0
482223,11,37,1,13.08616161,0,0,0
170001,5,64,0,12.04356003,0,1,0
515001,0,62,0,13.15192413,0,1,1
1361834,14,29,0,14.12434292,0,1,0
108334,1,70,1,11.59297466,1,0,1
280001,4,56,0,12.54254818,1,1,0
90001,13,41,0,11.40757561,0,1,1
136001,4,31,0,11.8204174,0,0,1
173572,5,37,0,12.06434822,0,1,1
460001,0,55,0,13.0389843,0,1,1
170001,14,29,0,12.04356003,0,0,0
112501,11,29,0,11.63071728,0,0,0
121430,0,74,0,11.70709324,0,0,0
266668,10,55,0,12.49376011,1,1,0
412501,5,82,1,12.92999363,0,1,0
150001,3,68,0,11.91839695,1,1,0
150001,6,56,0,11.91839695,1,1,1
130973,0,71,0,11.78274632,1,0,0
496501,3,54,0,13.11534119,0,1,0
176251,1,80,0,12.07966423,1,0,0
400001,2,75,0,12.89922237,1,1,1
3250001,16,54,0,14.99416542,1,1,0
88112,11,36,1,11.38636398,1,0,1
147501,2,56,0,11.90159035,1,0,1
127084,0,65,0,11.75260353,1,1,0
165501,0,68,0,12.01673222,1,1,1
375001,8,59,0,12.83468437,1,1,1
430001,5,37,0,12.97154236,1,0,1
2575001,19,63,0,14.76136017,1,0,0
953334,4,55,0,13.76772022,0,1,0
207501,5,37,1,12.24289131,0,1,1
2235834,1,54,0,14.62012482,0,1,1
313334,3,39,0,12.65502453,0,1,1
177001,5,38,1,12.08391094,0,1,1
191668,4,39,1,12.16351986,0,1,1
300001,4,44,0,12.61154079,0,0,1
132501,5,42,1,11.79434586,0,1,1
326251,2,52,0,12.69542217,0,1,1
1094368,14,23,0,13.90568733,1,1,0
254723,1,72,0,12.44793224,1,1,1
182709,5,47,1,12.11565018,1,0,0
238334,0,70,0,12.38142872,0,1,1
4050001,5,58,0,15.21422768,0,1,1
1,11,37,0,0,1,0,0
1100001,5,51,0,13.91082191,0,1,0
450001,3,63,0,13.01700497,0,1,1
250001,12,47,0,12.4292202,0,0,0
200001,5,74,0,12.20607758,0,1,1
600001,5,41,0,13.30468655,0,1,1
79689,0,89,1,11.28588676,0,1,1
292989,9,43,0,12.58789063,0,1,1
198501,0,76,0,12.19854927,0,0,1
127918,9,39,1,11.75914478,0,1,0
440334,7,37,1,12.99528885,0,1,0
95522,0,80,0,11.46711159,0,0,1
199001,5,84,1,12.20106506,0,1,0
550001,4,86,0,13.21767521,0,0,1
398001,2,51,0,12.89420986,0,0,1
481251,11,53,1,13.08414459,0,0,1
326876,11,32,1,12.6973362,0,1,0
207001,3,49,1,12.24047852,0,1,0
1110001,5,45,0,13.91987133,1,0,0
578334,3,70,1,13.26790714,0,1,0
79862,1,75,0,11.28805542,0,1,1
210001,10,29,1,12.25486755,0,1,0
365209,4,55,1,12.80822468,0,1,0
252834,5,63,1,12.44048882,0,1,1
159287,3,60,0,11.97846317,0,1,0
100001,7,32,0,11.51293564,0,1,1
625895,11,56,0,13.34693813,0,0,0
196112,10,49,0,12.18644142,0,0,1
256112,3,54,1,12.45337009,0,1,1
167168,9,29,1,12.02675438,0,1,0
313990,11,37,1,12.65711689,0,1,0
235273,9,45,0,12.36850166,0,1,1
183334,9,20,0,12.11906528,0,0,0
300001,5,29,0,12.61154079,0,1,1
480001,0,40,0,13.08154392,1,1,1
114445,11,36,1,11.64785004,1,1,1
2000001,3,46,0,14.50865841,1,1,0
507779,13,34,1,13.13780117,1,1,1
233751,8,54,0,12.36201191,1,0,0
762501,14,29,0,13.54435921,1,1,0
874334,11,41,0,13.68121815,1,1,1
300001,9,24,0,12.61154079,1,1,0
192144,0,75,0,12.16600037,1,0,1
400001,13,42,0,12.89922237,1,1,0
725001,6,52,0,13.49392796,1,0,1
219001,5,48,0,12.29683113,0,0,0
760001,0,71,0,13.54107475,0,1,1
56876,11,27,1,10.94862843,0,0,1
73901,0,45,1,11.21048164,0,1,1
1059862,17,43,0,13.8736496,1,1,0
101251,9,38,1,11.5253582,0,1,1
217501,3,49,1,12.28995895,0,1,1
26668,12,26,1,10.19121933,0,0,0
827501,0,69,0,13.62616539,0,1,1
151001,0,40,1,11.92504215,0,1,1
1247168,7,21,0,14.03638554,0,1,0
173751,0,63,0,12.06537819,0,0,0
23501,3,52,0,10.06479836,0,0,1
1142668,8,43,0,13.94887638,0,1,1
347501,5,39,0,12.75852299,0,1,0
374168,5,27,1,12.8324604,0,0,1
