rural,mulher,anos_est,rndpcap,meanrndpcap,sufrnd
1,0,7,388.436,527.8295918,1
1,0,3,388.475,876.9027907,0
0,1,6,389.0866667,618.5127027,0
1,0,11,389.12,525.4981579,0
1,0,3,389.1466667,478.4286957,0
0,0,4,389.25,568.2389655,0
0,1,9,389.6366667,608.8389474,0
0,1,4,390.305,606.5910714,0
0,0,12,390.32,1948.479778,0
1,0,12,390.734,794.3415789,0
1,0,0,390.83,662.9639535,0
0,0,4,390.895,740.5191304,0
1,0,4,391.22,587.443871,0
0,1,4,391.45,1207.043256,0
1,1,11,392.25,423.0136585,0
0,0,8,392.42,388.5253623,0
1,0,11,392.515,554.9977358,0
0,1,4,392.5466667,1617.471852,0
0,1,4,392.9066667,1135.875278,0
1,0,10,392.9533333,570.3334375,1
0,0,5,393.275,538.7673684,0
1,0,4,393.4275,627.1180303,0
0,0,8,393.4766667,1983.663871,0
1,0,5,394,1424.695472,1
0,0,4,394.425,409.7105714,0
0,0,6,395.03,267.5275926,0
0,1,11,395.3225,685.6504762,0
0,0,4,395.5533333,398.4177083,0
0,1,5,395.695,423.8047727,0
1,0,12,396.61,740.7088235,0
1,0,4,396.68,652.6279592,0
1,0,4,396.76,618.6634,1
1,0,4,397.0366667,834.9436364,0
1,0,7,397.1333333,885.1378723,0
0,1,4,397.18,1222.939767,0
0,1,1,397.3733333,718.0520833,0
0,0,11,397.6,673.9688889,0
1,0,2,397.86,718.9960345,0
1,0,5,397.9125,838.3386765,0
1,0,4,398.3066667,740.7088235,1
1,0,11,398.3975,717.7116667,0
1,0,5,398.452,495.0122951,0
0,1,4,398.94,2657.853,0
0,1,11,399.118,552.4429787,0
1,0,3,399.82125,574.977963,0
1,0,1,399.99,579.2511111,0
0,0,0,400.375,639.7505263,0
0,0,8,400.6975,594.8609091,0
1,1,0,400.915,672.7350877,0
0,1,8,401.1225,541.0827778,0
0,1,11,401.1333333,904.1488571,0
1,1,0,401.2666667,627.1180303,1
1,1,2,401.2675,515.4110909,0
0,0,3,401.94,495.635641,0
1,0,4,402.19,838.3386765,0
1,0,11,402.5,273.712,1
0,0,1,402.695,442.4744737,0
0,0,3,402.695,736.2497368,0
0,0,12,403.1666667,552.4429787,0
0,1,8,403.62,583.2331915,0
1,0,12,404.27,618.6634,0
1,0,2,404.65,627.1180303,1
1,0,1,404.78,563.237561,0
0,0,4,404.82,887.3187805,0
0,0,4,405.3775,645.1605,1
0,1,10,406.056,949.5315789,0
0,0,10,406.085,618.5127027,0
0,0,10,406.5566667,509.6545,1
0,1,4,406.685,669.0507692,0
0,0,11,406.7166667,740.5191304,0
0,0,10,407.37,527.6662903,0
0,0,12,407.452,291.0228947,0
0,0,3,407.84,613.4914706,0
0,1,4,407.954,1139.487317,0
1,0,3,408.39,419.5996296,1
0,1,8,409.1433333,402.0349153,0
1,0,4,409.2,423.0136585,0
1,1,6,409.35,423.0136585,0
1,0,10,409.63,579.2511111,0
1,0,9,409.8575,587.443871,0
0,0,3,410,603.7085714,1
1,0,1,410.21,659.6204839,0
1,0,12,410.255,579.2511111,0
